"county_name","median_age","mean_savings","per_capita_income","percent_in_poverty","percent_veterans","percent_female","population_density","percent_in_nursing_homes","crime_index_PC","state","clinton_win"
"Rio Blanco",32.3,110260,17470,9.4,13.95,49.19,1.9,4.03,334,"CO",FALSE
"Sedgwick",40.8,83346,18661,12,15.92,51.21,4.7,11.54,104,"CO",FALSE
"Teller",34.6,54644,19068,9.3,9.77,48.95,24.8,2.54,374,"CO",FALSE
"Weld",30.5,55994,16466,15.3,10.26,50.44,34.1,4.88,565,"CO",FALSE
"Yuma",35.8,133721,19370,12,11.92,51.01,3.8,12,224,"CO",FALSE
"Fairfield",35.5,191020,36257,7.7,13.34,52.01,1322.7,6.75,512,"CT",FALSE
"Litchfield",35.7,140960,24501,5.5,12.83,51.13,192.1,6.71,175,"CT",FALSE
"Kent",31.1,120322,16094,13,10.47,50.97,196.4,7.72,390,"DE",FALSE
"Baker",30.2,40609,13593,19.4,9.05,47.21,33,3.47,372,"FL",FALSE
"Bay",33.2,41969,16424,16.3,10.35,51.04,174.7,3.42,740,"FL",FALSE
"Bradford",33.6,55896,12438,21.6,13.76,44.38,78.4,4.3,759,"FL",FALSE
"Brevard",36.2,67498,18715,11.6,11.42,50.49,417.5,2.66,668,"FL",FALSE
"Calhoun",33.5,45242,11330,22.3,7.69,48.65,20.1,12.19,77,"FL",FALSE
"Charlotte",53.6,88873,17584,10,8.81,51.8,173.6,5.55,366,"FL",FALSE
"Clay",32,42602,17407,8.8,8.88,50.81,189.5,4.35,487,"FL",FALSE
"Collier",40.7,126370,28557,13.1,7.56,50.29,81.6,3.67,571,"FL",FALSE
"Columbia",33.6,56503,14089,20.4,10.73,50.99,55.7,2.07,728,"FL",FALSE
"Duval",31.5,82961,18857,15.4,11.57,50.8,903,3.68,1033,"FL",FALSE
"Escambia",32.4,70654,16345,20.3,12.48,51.36,407.2,4.24,741,"FL",FALSE
"Franklin",38.9,51274,13963,21.1,10.57,50.57,17.2,14.13,242,"FL",FALSE
"Hardee",32.8,96343,15621,27,10.27,49.21,31.5,3.73,556,"FL",FALSE
"Hillsborough",33,86182,18401,17,10.43,51.13,814.9,3.58,1043,"FL",FALSE
"Holmes",35.6,46441,11892,24.6,10.56,49.23,33.8,7.24,120,"FL",FALSE
"Indian River",44,138696,26637,11.5,9.58,51.62,186.2,4.48,585,"FL",FALSE
"Jackson",34.3,62200,14271,20.9,10.58,48.92,46.4,6.94,217,"FL",FALSE
"Lake",44.7,101453,17326,14.1,9.62,51.96,170.3,6.2,452,"FL",FALSE
"Lee",42,102447,20349,12.3,9.07,51.76,439.4,3.71,626,"FL",FALSE
"Manatee",43.1,89672,20904,12.9,10.08,52.55,295.3,6.26,848,"FL",FALSE
"Marion",40,68657,15633,18.4,8.8,51.76,131.5,3.02,663,"FL",FALSE
"Martin",44.5,120549,29881,10.8,9.85,50.77,188.8,3.84,556,"FL",FALSE
"Nassau",33.4,42532,19059,11.9,9.98,50.49,72,2.52,425,"FL",FALSE
"Orange",31.5,79270,18920,14.7,9.56,50.3,785,4.55,887,"FL",FALSE
"Osceola",33.7,56749,15266,14,6.01,50.97,90.1,5.08,801,"FL",FALSE
"Polk",36.5,76139,16280,17.9,10.13,51.5,223.5,4.28,892,"FL",FALSE
"St. Johns",37,81562,23965,11.8,8.73,51.5,148.3,4.98,683,"FL",FALSE
"Santa Rosa",32.5,57891,16150,12.6,8.93,50.18,88.7,3.02,393,"FL",FALSE
"Sarasota",49,138285,27785,9.9,11.19,53.17,498.6,8.29,692,"FL",FALSE
"Seminole",33.3,55465,19694,9.9,9.26,51.11,1004.2,2.69,592,"FL",FALSE
"Taylor",33.5,37261,13963,20.6,11.87,51.33,16.6,6.47,354,"FL",FALSE
"Wakulla",34.2,40833,14183,15.4,9.95,50.84,25.4,7.53,227,"FL",FALSE
"Walton",37.8,32464,13562,18.7,11.21,49.69,27.9,4.03,212,"FL",FALSE
"Washington",37.3,24995,12870,21.2,10.27,51.69,30,10.06,94,"FL",FALSE
"Appling",32.3,42773,12725,21.2,7.93,51.76,31.4,1.94,200,"GA",FALSE
"Barrow",31.1,67746,14985,15.2,7,51.06,197.9,4.83,385,"GA",FALSE
"Bartow",31.5,57532,15193,13,7.52,50.67,129.2,1.97,286,"GA",FALSE
"Camden",27.2,27287,12197,11.2,4.24,45.91,59.7,1.44,289,"GA",FALSE
"Carroll",30.4,62832,14798,16,7.53,51.52,148,7.17,461,"GA",FALSE
"Catoosa",33.9,37852,13415,12.6,11.54,51.63,273.1,4.4,308,"GA",FALSE
"Charlton",30.4,66347,11564,21.3,8.39,51.51,11.3,10.34,66,"GA",FALSE
"Chatham",32.2,87632,19023,20,10.59,52.28,504.1,5.35,816,"GA",FALSE
"Cherokee",31.1,52897,17175,7.5,5.84,49.67,240.7,3.07,223,"GA",FALSE
"Clinch",31.6,57082,12584,25,8.19,51.61,7.7,14.52,226,"GA",FALSE
"Coffee",30.5,95719,15271,23.1,7.59,51.88,51.2,4.76,777,"GA",FALSE
"Colquitt",32.6,78057,14892,25.8,9.96,51.44,67,7.62,638,"GA",FALSE
"Columbia",31.2,30540,17165,7.7,7.2,50.04,251,2.36,315,"GA",FALSE
"Coweta",32,59670,17069,12.6,7.97,51.68,136.3,3.99,347,"GA",FALSE
"Dade",32.7,53856,12299,16.3,10.2,51.14,76.5,4.89,180,"GA",FALSE
"Douglas",31.1,41886,16590,9.5,9.22,50.39,377.3,6.54,339,"GA",FALSE
"Evans",32.2,97457,14679,25.6,9.17,51.54,48.1,9.66,116,"GA",FALSE
"Fannin",39,88296,12626,17.6,10.03,51.78,43,6.08,202,"GA",FALSE
"Fayette",34.1,67403,22708,3.9,6.26,50.41,352.6,1.51,176,"GA",FALSE
"Forsyth",32.8,71411,20194,7.9,6.2,49.86,220.5,4.1,469,"GA",FALSE
"Gilmer",35.4,95830,14779,17.3,8.1,50.84,33.5,5.59,7,"GA",FALSE
"Glascock",37,23635,15212,16.1,7.39,53.26,16,45.22,27,"GA",FALSE
"Gordon",32.4,61457,15699,12.5,9.01,50.84,102.2,5.67,331,"GA",FALSE
"Gwinnett",30.5,51598,21670,5.8,5.59,49.91,903,1.54,477,"GA",FALSE
"Habersham",33.3,136899,16107,12.3,10.38,48.89,102.8,6.89,164,"GA",FALSE
"Hall",32.3,135515,17885,14.2,8.72,50.62,253.5,3.9,456,"GA",FALSE
"Harris",35.6,29930,17105,12.9,10.95,50.55,39.2,5.22,251,"GA",FALSE
"Henry",31.9,51437,16942,7.4,6.8,50.53,209.5,2.96,271,"GA",FALSE
"Houston",31,54104,16375,12.6,11.96,51.2,247.6,3.8,539,"GA",FALSE
"Jackson",33,58627,14970,15.9,8.61,50.46,91.7,12.13,333,"GA",FALSE
"Lowndes",28.9,72967,15455,22.4,9.42,51.01,154.7,4.31,719,"GA",FALSE
"McDuffie",32,87855,15110,20.7,8.5,52.78,80.4,7.18,120,"GA",FALSE
"Madison",32.8,31159,14508,16.3,8.91,51.01,77.7,4.52,6,"GA",FALSE
"Murray",30.4,40531,13615,12.1,7.07,50.38,80.4,4.22,284,"GA",FALSE
"Oglethorpe",33.5,43697,14094,16.5,8.1,51.77,23.1,5.98,196,"GA",FALSE
"Paulding",29.8,44189,13925,9,5.99,50.02,150.8,2.85,277,"GA",FALSE
"Pierce",33.3,74455,14439,21.1,9.66,51.35,39.7,4.71,224,"GA",FALSE
"Pike",33.5,62030,14928,13.3,10.16,50.51,48.1,5.9,134,"GA",FALSE
"Rabun",39.8,132881,13923,15,11.14,51.56,32.1,8.82,182,"GA",FALSE
"Spalding",32.1,69241,15108,18.6,10.1,52.05,283.8,6.16,814,"GA",FALSE
"Thomas",33.1,79996,16732,23.5,10.14,53.34,72,6.58,446,"GA",FALSE
"Tift",30.7,101581,15714,23.6,8.8,51.34,133.9,7.04,665,"GA",FALSE
"Toombs",32,66903,14833,25,8.73,52.49,66.8,13.96,334,"GA",FALSE
"Towns",43,134393,13559,14.3,9.81,51.35,42,10.86,63,"GA",FALSE
"Troup",32.5,72590,16161,18.4,9.66,52.81,136.7,6.91,708,"GA",FALSE
"Union",39.3,148835,13326,15.7,7.26,50.34,40,15.5,129,"GA",FALSE
"Upson",34.8,74363,14078,17.1,10.64,52.76,80.8,11.33,388,"GA",FALSE
"Walker",34.5,36663,14335,14.3,12.6,51.48,132.6,3.67,367,"GA",FALSE
"Ware",34.4,76858,14166,22.6,11.4,51.64,39.7,12.12,546,"GA",FALSE
"Wayne",32.6,57496,14135,21.4,8.97,51.43,36.9,9.16,482,"GA",FALSE
"White",36.8,114242,17087,12.5,8.5,51.32,57.5,10.58,254,"GA",FALSE
"Bannock",29.5,68873,14920,12.4,11.55,50.3,61.6,3.8,548,"ID",FALSE
"Bear Lake",30.9,95563,12505,12.1,11.44,50.62,6.5,5.87,154,"ID",FALSE
"Bingham",27.6,45989,14077,15.2,9.18,49.79,19,2.04,269,"ID",FALSE
"Bonneville",28.7,68738,17733,10.6,10.52,49.53,41.3,2.66,493,"ID",FALSE
"Boundary",32.8,70555,13381,15.4,11.86,48.86,6.8,4.42,157,"ID",FALSE
"Canyon",31.6,48339,14121,17,9.86,50.63,163.6,5.59,537,"ID",FALSE
"Cassia",29.2,100296,16686,15.6,10.23,49.68,7.9,4.7,529,"ID",FALSE
"Fremont",28.1,52203,13539,13.6,10.21,48.55,6.1,2.12,189,"ID",FALSE
"Gem",36,70698,15081,15.7,12.73,49.93,22.4,7.62,190,"ID",FALSE
"Gooding",34.7,78628,16416,15.2,13.45,49.86,16.6,3.06,169,"ID",FALSE
"Idaho",36.5,83686,14681,14,14.33,49.24,1.7,6.06,149,"ID",FALSE
"Jerome",32.6,65378,15610,15.1,10.8,49.85,26.3,2.34,365,"ID",FALSE
"Kootenai",35,77050,17642,11.5,11.67,50.78,62.1,4.49,565,"ID",FALSE
"Lemhi",38.1,96177,14244,15.5,15.01,50.37,1.6,5.63,37,"ID",FALSE
"Madison",20,54431,10132,14.9,5.02,52.34,50.9,4.08,326,"ID",FALSE
"Oneida",31.4,91280,12546,11.2,8.71,50.33,2.9,6.86,134,"ID",FALSE
"Owyhee",30.4,49278,12601,10.5,9.73,47.42,1.1,5.81,61,"ID",FALSE
"Twin Falls",33.3,82766,15812,13.3,11.71,50.83,29.1,6.99,483,"ID",FALSE
"Washington",37.3,107648,13659,18.8,12.58,51.3,6,8.52,244,"ID",FALSE
"Adams",35.4,97664,17574,14.2,14.37,52.39,77.7,14.08,378,"IL",FALSE
"Boone",33.1,61502,18120,7.6,11.02,50.53,116.2,8.23,256,"IL",FALSE
"DuPage",32.3,92125,29399,3.8,10.65,50.73,2434.2,4.93,322,"IL",FALSE
"Edwards",37.3,144554,15186,10.6,13.88,51.96,33.3,6.49,45,"IL",FALSE
"Ford",36.9,139119,19333,9.2,14.57,52.15,28.8,23.64,123,"IL",FALSE
"Grundy",33.3,108334,20467,5.7,11.57,50.31,80.5,8.58,57,"IL",FALSE
"Jo Daviess",36.2,165969,19094,8,13.05,50.76,36.3,6.56,135,"IL",FALSE
"Kane",30.9,84074,21482,8.4,10.34,50.29,640.7,5.76,447,"IL",FALSE
"Kendall",32,68458,19966,3.8,11.59,49.92,128.8,3.2,164,"IL",FALSE
"Lake",31.6,90609,30590,6.5,10.68,49.4,1205.2,6.57,365,"IL",FALSE
"Lee",34.2,108938,16000,9.1,13.12,49.42,48,13.02,155,"IL",FALSE
"Livingston",34.3,115211,17256,9.8,13.2,49.91,38.2,13.78,202,"IL",FALSE
"McLean",28.8,73344,19768,8.8,10.07,52.09,112.9,7.59,267,"IL",FALSE
"Menard",35.4,131067,18855,8.5,14.13,52.03,36.3,15,57,"IL",FALSE
"Ogle",34,84020,16868,7.6,11.73,50.93,62.6,12.95,129,"IL",FALSE
"Scott",35.9,147300,14484,10.4,13.48,52.22,22.3,10.89,64,"IL",FALSE
"Stark",37.6,171258,17449,10.4,13.63,51.68,22.2,35.16,117,"IL",FALSE
"Stephenson",35,136018,18730,10.1,11.87,51.71,85.9,11.01,393,"IL",FALSE
"Wabash",34.9,166086,17078,12.3,13.92,51.94,58.2,16.08,123,"IL",FALSE
"Washington",35.9,131915,17739,8.8,13.05,51.29,26.3,10.95,158,"IL",FALSE
"Wayne",37.4,130718,15556,12.2,13.36,51.84,23.8,8.24,49,"IL",FALSE
"Woodford",34.1,67328,18093,6.9,12.37,51.01,63.3,13.92,80,"IL",FALSE
"Adams",30.6,125678,15770,12.6,8.92,50.88,92.8,5.17,154,"IN",FALSE
"Allen",32.1,112144,20748,11.2,12.17,51.58,463.6,7.78,607,"IN",FALSE
"Bartholomew",34.2,75440,19936,9,12.04,51.35,160.5,5.71,340,"IN",FALSE
"Benton",34.7,135028,16609,8.8,11.86,51.09,23.9,10.62,95,"IN",FALSE
"Blackford",35.7,67304,15328,12.9,13.6,51.4,84.8,9.43,220,"IN",FALSE
"Brown",36.5,28332,16039,9.9,11.07,49.84,46.7,6.51,9,"IN",FALSE
"Carroll",35,104096,16697,7.7,12.38,50.94,51.8,8.24,115,"IN",FALSE
"Cass",35,94307,16880,12.3,13.96,51.95,93.5,10.85,202,"IN",FALSE
"Clay",35.2,90885,15438,10.7,12.42,52.06,70.5,11.43,116,"IN",FALSE
"Clinton",34.1,89376,16363,10.5,11.92,51.67,78.5,13.4,280,"IN",FALSE
"Daviess",33.6,83851,15051,14.7,11.3,51.65,64.8,15.59,76,"IN",FALSE
"Dearborn",33.1,47333,16428,8.7,10.65,50.9,135,8.71,78,"IN",FALSE
"Decatur",32.6,83775,16492,9.5,11.65,50.55,65.2,10.29,73,"IN",FALSE
"Delaware",31.4,65528,17507,16.4,12.91,52.39,304.1,7.63,85,"IN",FALSE
"Dubois",32.1,185623,19630,5.1,10.68,50.81,87.2,13.6,93,"IN",FALSE
"Elkhart",31.8,99012,18577,9.8,9.82,51,343.5,7.65,442,"IN",FALSE
"Fayette",35.1,64018,16431,13.1,13,51.56,121.9,12.4,324,"IN",FALSE
"Fulton",35.3,83708,15736,9.9,13.36,51.37,51.8,13.61,9,"IN",FALSE
"Hamilton",32.9,62579,28005,4.1,8.88,51.19,304.3,5.71,115,"IN",FALSE
"Hancock",34.2,63769,19890,5.7,11.91,50.75,154.8,8.4,168,"IN",FALSE
"Hendricks",33.3,62744,20074,4.7,12.14,49.41,194.9,6.96,86,"IN",FALSE
"Howard",34.1,63532,19321,12,13.96,52.14,280.5,6.33,363,"IN",FALSE
"Huntington",32.8,86077,17700,8,11.07,51.48,93.6,12.29,235,"IN",FALSE
"Jackson",33.6,82073,15798,10.7,10.83,51.52,75.8,10.1,38,"IN",FALSE
"Jennings",33.1,51863,15553,12.9,10.99,50.44,64.4,4.57,224,"IN",FALSE
"Johnson",32.6,61848,19838,7.9,10.64,51.32,292.3,13.11,157,"IN",FALSE
"Kosciusko",32.2,88646,19191,7.8,10.05,50.93,122.6,5.77,117,"IN",FALSE
"Lawrence",35.3,81952,16126,11.4,12.88,51.44,96.7,11.01,203,"IN",FALSE
"Marion",31.8,119332,21430,15,12.04,52.49,2048.2,7.55,755,"IN",FALSE
"Marshall",33.3,90154,16482,8.6,10.5,50.8,97.2,6.2,25,"IN",FALSE
"Martin",34.1,80087,15323,11.6,14.38,50.7,30.9,12.21,126,"IN",FALSE
"Miami",31.5,61919,14891,12.8,12.1,50.69,98.5,5.54,26,"IN",FALSE
"Montgomery",34,81913,18139,9.3,12.67,50.37,69.4,12.89,328,"IN",FALSE
"Morgan",32.9,48631,17075,9.1,11.04,50.78,143.9,5.66,154,"IN",FALSE
"Newton",33.6,94709,15336,9.8,12.47,50.66,34.6,16.76,171,"IN",FALSE
"Noble",31.9,73852,16246,8.5,10.79,50.63,94.1,11.91,90,"IN",FALSE
"Ohio",34.1,35694,14690,10.1,12.96,51.33,61.1,10.75,10,"IN",FALSE
"Orange",34.7,126441,13795,14,12.16,51.26,46.5,11.61,43,"IN",FALSE
"Owen",34.7,57836,13984,13.2,11.07,50.61,47.5,5.52,18,"IN",FALSE
"Parke",36.3,69951,15530,12.2,14.45,51.93,35.3,18.28,40,"IN",FALSE
"Porter",32.7,54246,19914,6.6,11.65,50.94,321.1,6.52,284,"IN",FALSE
"Putnam",32.1,79440,15232,9.3,12.16,48.7,65.4,8.34,56,"IN",FALSE
"Randolph",35.6,88770,15401,15.1,13.21,51.48,59.8,5.17,73,"IN",FALSE
"Ripley",33.1,138470,17345,10,11.22,50.94,56.9,11.69,69,"IN",FALSE
"Rush",33.6,89738,15736,11,12.79,51.49,44.8,9.4,17,"IN",FALSE
"Shelby",33.1,71550,17905,9.3,12.42,51.36,99.8,10.15,18,"IN",FALSE
"Steuben",33.4,91466,17312,8.4,10.33,50.12,91.7,5.27,400,"IN",FALSE
"Tippecanoe",26.8,87934,17264,11.7,9.89,49.46,264.5,10.44,454,"IN",FALSE
"Union",33.7,149921,14299,10.9,10.69,51.29,43.9,10.28,44,"IN",FALSE
"Wabash",33.7,73236,16315,9.7,11.15,51.56,84.2,14.89,162,"IN",FALSE
"Warren",36,47912,15471,9.6,12.9,50.48,22.5,9.15,38,"IN",FALSE
"Wayne",34.9,69174,16470,16.4,13.34,52.24,178.6,10.24,336,"IN",FALSE
"Wells",33.1,91019,17873,7.1,10.82,51.35,70.5,13.87,144,"IN",FALSE
"White",35.1,108531,16710,8.7,13.05,51.53,47.1,8.87,168,"IN",FALSE
"Whitley",33.3,91840,17230,6.3,11.17,50.83,84.6,7.39,13,"IN",FALSE
"Adair",39.3,138220,16324,12.1,12.81,51.7,14.8,19.05,108,"IA",FALSE
"Buena Vista",33.9,139358,16786,9.7,12.41,51.32,35,12.84,290,"IA",FALSE
"Butler",37.9,104918,16317,9.7,11.58,51.03,27.2,19.3,76,"IA",FALSE
"Calhoun",39.8,122010,18293,11.1,13.58,52.08,20.2,21.48,111,"IA",FALSE
"Cass",38.3,143033,17391,11.9,12.85,52.25,26.6,22.33,180,"IA",FALSE
"Cherokee",37.2,157590,17106,9.5,14.31,51.57,24.3,16.93,92,"IA",FALSE
"Delaware",32.7,112964,15713,12,9.67,50.72,31.7,10.66,83,"IA",FALSE
"Dickinson",39.7,89895,19927,8.3,14.01,51.96,39.9,14.41,106,"IA",FALSE
"Franklin",38.1,109071,17704,11,13.71,51.68,19.2,17.95,89,"IA",FALSE
"Grundy",38.8,162083,19418,7.4,12.93,51.88,24.1,11.32,59,"IA",FALSE
"Hancock",35.4,132135,16307,10,12.45,51.2,21.7,13.87,48,"IA",FALSE
"Harrison",36.5,96187,16346,12.6,13.14,51.76,21.1,21.5,70,"IA",FALSE
"Humboldt",38.6,133781,17789,9.1,14.25,51.34,24.4,13.49,53,"IA",FALSE
"Ida",36.9,161700,17383,9.8,13.84,51.47,19.2,21.45,1,"IA",FALSE
"Iowa",36.6,111545,19405,7.2,11.8,51.53,25.2,14.93,13,"IA",FALSE
"Lyon",34.8,124328,15323,9.8,11.23,50.91,20.4,16.25,28,"IA",FALSE
"Mahaska",34.8,92906,16206,12.2,12.36,51.23,37.7,11.58,75,"IA",FALSE
"Mills",35.1,83245,20575,10.1,11.02,50.3,30.7,6.57,3,"IA",FALSE
"Montgomery",38.6,115701,17442,10.9,13.85,52.69,28.1,23.95,375,"IA",FALSE
"O'Brien",36.9,137471,17435,9.5,13.36,51.68,27,19.61,232,"IA",FALSE
"Osceola",36.1,145111,16182,9.1,14.99,51.23,18.1,6.94,113,"IA",FALSE
"Plymouth",34.1,129318,17987,7.6,11.25,50.81,27.4,19.41,35,"IA",FALSE
"Pottawattamie",33.5,68762,16734,12.5,14.11,51.87,87.5,6.81,21,"IA",FALSE
"Sac",38.3,133182,16708,10.9,13.94,51.16,21.2,18.11,56,"IA",FALSE
"Shelby",37.3,149972,16945,10.2,12.77,51.09,22.3,21.36,1,"IA",FALSE
"Sioux",30.9,128974,15996,7.1,9.41,51.35,39.6,10.89,44,"IA",FALSE
"Winnebago",35.9,140234,18149,9.6,11.6,51.38,29.7,17.73,134,"IA",FALSE
"Woodbury",32.9,93137,18983,13,13.31,51.64,114.5,9.43,616,"IA",FALSE
"Anderson",38.1,163573,16008,13.8,11.38,51.49,13.6,16.46,212,"KS",FALSE
"Barber",37.5,209026,16931,8.7,14.44,51.98,5,15.09,123,"KS",FALSE
"Bourbon",36.8,94548,16208,19.2,13.44,52.82,23.2,15.74,267,"KS",FALSE
"Butler",33.8,71706,18390,8.9,11.28,50.35,37.3,11.63,338,"KS",FALSE
"Chase",39.7,110300,17758,15,13.79,50.24,3.7,20,97,"KS",FALSE
"Chautauqua",43.3,95114,14358,20.4,15.34,51.5,6.9,27.27,139,"KS",FALSE
"Cheyenne",41.8,205700,18206,10.8,13.13,51.74,3.1,36.56,3,"KS",FALSE
"Clark",41.1,275263,21018,8.4,13,51.59,2.5,28.33,138,"KS",FALSE
"Clay",39.2,133192,16850,12.6,13.1,51.53,14.4,17.1,137,"KS",FALSE
"Cloud",39.9,157533,16216,12.8,12.94,52.72,15,32.06,231,"KS",FALSE
"Coffey",36.2,130545,17205,10.2,12,50.57,13.6,27.67,137,"KS",FALSE
"Comanche",41.6,200886,22336,10.4,13.27,51.95,2.8,42.27,5,"KS",FALSE
"Cowley",34.7,84019,16094,13.9,12.56,51.54,32.7,11.25,420,"KS",FALSE
"Decatur",40.2,175353,19598,12.4,14.87,51.24,4.3,30.26,108,"KS",FALSE
"Doniphan",35.1,117707,17038,16.7,13.27,50.81,20.7,10.37,137,"KS",FALSE
"Edwards",39.4,147411,22411,12.1,13.47,51.93,5.8,20,67,"KS",FALSE
"Ellsworth",38,141571,15496,11.3,13.65,47.21,9.1,24.31,203,"KS",FALSE
"Finney",27.2,90513,17945,13.6,7.21,48.88,26.3,6.29,873,"KS",FALSE
"Ford",30.2,91769,16328,15.7,10.56,49.32,25.3,7.12,738,"KS",FALSE
"Franklin",33.3,76065,15214,12.9,11.82,51.46,39,12.14,272,"KS",FALSE
