"county_name","median_age","mean_savings","per_capita_income","percent_in_poverty","percent_veterans","percent_female","population_density","percent_in_nursing_homes","crime_index_PC","state","clinton_win"
"Etowah",36,69920,15324,17.9,12.35,52.6,186.8,9.34,616,"AL",TRUE
"Fayette",35.6,83058,13404,18.6,9.34,52.22,28.8,11.16,113,"AL",TRUE
"Franklin",35.8,107673,14777,18.1,8.84,52.18,44.7,7.39,99,"AL",TRUE
"Geneva",36.4,89634,15339,19.4,10.52,51.8,41.8,3.49,142,"AL",FALSE
"Greene",31.3,27496,11165,38.8,6.01,54.17,15.8,5.1,416,"AL",TRUE
"Hale",31.8,65003,11509,31.4,6.96,53.35,24.7,9.94,122,"AL",TRUE
"Henry",35.4,99412,14658,19.1,9.33,52.73,27.8,5.06,183,"AL",FALSE
"Houston",33.1,107388,17412,18,9.94,52.5,143.5,2.59,587,"AL",FALSE
"Jackson",34.6,65230,15484,16.1,11.11,51.68,45.3,2.97,250,"AL",TRUE
"Jefferson",34.1,131030,19892,18.6,12.71,53.24,589.7,5.3,740,"AL",FALSE
"Lauderdale",34.7,90707,16058,13.9,11.24,52.23,122,6.67,283,"AL",TRUE
"Lawrence",32,32426,13763,17.8,7.19,50.8,46.4,3.82,108,"AL",TRUE
"Lee",26.2,72622,14458,18.5,8.1,50.18,146.8,4.36,609,"AL",FALSE
"Limestone",32.8,43175,16384,14.6,8.31,50.09,99.8,3.88,189,"AL",FALSE
"Macon",28.9,37611,11402,35.3,11.53,53.59,40.1,8.12,669,"AL",TRUE
"Madison",31.9,69070,21029,12.9,10.5,50.74,310.9,2.48,722,"AL",FALSE
"Marengo",32.5,98897,13908,28.4,9.44,52.76,23.8,5.62,387,"AL",TRUE
"Marion",35.7,106725,13238,18,9.49,51.01,40.1,6.03,71,"AL",TRUE
"Marshall",35.3,100160,15857,14.7,10.25,52.16,129.3,4.6,381,"AL",FALSE
"Mobile",31.9,72077,15569,24.3,10.95,52.56,314.7,4.53,709,"AL",FALSE
"Monroe",31.4,76753,13997,21.6,8.75,51.67,23.4,5.38,164,"AL",FALSE
"Montgomery",31.6,107844,19618,20.4,10.63,52.83,270.9,5.42,631,"AL",FALSE
"Morgan",33.6,73523,18164,12.9,9.74,51.27,177.8,5.76,443,"AL",FALSE
"Perry",30.2,62737,10986,42.4,7.97,53.52,17.2,9.76,402,"AL",TRUE
"Pickens",34.3,74484,12687,25.7,8.45,53.2,23.7,7.7,181,"AL",TRUE
"Pike",29.9,118415,14447,25.6,8.65,53.07,41.9,6.26,114,"AL",FALSE
"Randolph",34.9,76144,13064,18.5,9.96,51.74,34.8,6.83,139,"AL",FALSE
"Russell",33,42769,13664,20.4,10.1,52.17,76.4,4.92,473,"AL",TRUE
"St. Clair",33.5,37438,13994,16.2,9.17,49.65,83.4,4.44,157,"AL",FALSE
"Shelby",31.5,41609,20445,8.1,7.34,50.92,134.6,2.06,79,"AL",FALSE
"Sumter",28.9,43536,11611,35.2,6.38,53.69,17.9,6.36,231,"AL",TRUE
"Talladega",33,50652,13299,22.3,9.74,51.69,101.3,5.26,95,"AL",FALSE
"Tallapoosa",35.5,94605,15961,18,9.92,52.82,54.6,12.17,187,"AL",FALSE
"Tuscaloosa",30.6,63784,16035,19.3,9.76,51.72,115.9,7.05,793,"AL",FALSE
"Walker",35,74034,15598,17.7,10.83,51.95,86.1,7.06,253,"AL",TRUE
"Wilcox",30.4,58132,10300,41.3,6.9,53.37,15.4,5.4,46,"AL",TRUE
"Winston",35.5,96317,13674,16.2,9.26,51.16,36.3,12.78,151,"AL",FALSE
"Apache",23.4,14062,9805,40.8,4.86,50.81,5.6,1.02,73,"AZ",TRUE
"Cochise",32.6,54901,14288,21.9,12.09,49.6,16.3,3.57,343,"AZ",TRUE
"Gila",38.8,74724,13832,21.3,12.06,51.14,8.9,7.42,370,"AZ",TRUE
"Graham",29.4,49789,11037,26.1,9.26,48.61,6,4.28,241,"AZ",FALSE
"Maricopa",32,90041,19451,16,9.55,50.86,240.4,3.18,760,"AZ",FALSE
"Mohave",40.7,74282,14589,17.7,9.32,50.17,7.9,2.95,625,"AZ",FALSE
"Navajo",26.5,33766,10568,31.2,6.71,50.23,8.1,1.54,310,"AZ",TRUE
"Pima",32.8,65541,16747,19,11.02,50.94,75.3,3.32,854,"AZ",TRUE
"Pinal",32.6,44067,12724,25.7,9.45,48.66,22.4,2.72,563,"AZ",TRUE
"Santa Cruz",29.5,128167,12100,27.4,5.4,52.17,26.2,1.33,600,"AZ",TRUE
"Yavapai",42.4,95144,15378,15,9.69,51.07,14.3,6.25,337,"AZ",FALSE
"Yuma",30.5,60526,13091,28,9.48,49.01,21.5,3.3,63,"AZ",FALSE
"Arkansas",35.5,177652,15327,19.6,12.91,52.74,21.6,13.08,457,"AR",TRUE
"Ashley",33.9,74124,15044,21.3,11.9,52.08,26.7,10.77,373,"AR",TRUE
"Baxter",47.1,121231,15577,14.9,12.29,52.25,58.8,7.45,109,"AR",TRUE
"Benton",35.9,97252,18124,9.8,10,51.18,125.2,5.76,345,"AR",FALSE
"Boone",36.5,62629,14605,14.2,11.15,52.07,49.6,13.24,168,"AR",TRUE
"Bradley",36.6,132909,14936,23.8,10.22,52.44,17.8,16.72,304,"AR",TRUE
"Calhoun",34.3,49484,12475,17.9,10.16,51.73,9.1,9.47,160,"AR",TRUE
"Carroll",38.1,133734,14860,14.6,10.97,51.66,30.8,6.51,285,"AR",TRUE
"Chicot",31.9,76209,12669,38.8,7.3,53.29,24.4,4.33,417,"AR",TRUE
"Clark",32.2,119620,13403,20.6,11.22,52.48,24.8,10.88,202,"AR",TRUE
"Clay",39.5,80249,13406,19,12.39,52.09,28,10.34,142,"AR",TRUE
"Cleburne",41.7,105408,13970,16.7,11.71,51.46,36.7,10.54,219,"AR",TRUE
"Cleveland",35.7,26922,12675,17.2,11.14,51.39,13.2,9.37,54,"AR",TRUE
"Columbia",33.6,155722,14294,23.6,9.75,53.08,33.5,9.81,232,"AR",TRUE
"Conway",34.7,59808,14486,18.5,12.49,52.17,34.7,9.43,177,"AR",TRUE
"Craighead",31.6,87122,15310,16.8,9.13,51.85,99.9,8.46,445,"AR",TRUE
"Crawford",32.6,60472,12673,18,10.37,51.09,74.4,11.87,297,"AR",FALSE
"Crittenden",29.8,47128,14202,28,8.9,52.88,81.2,4.62,513,"AR",TRUE
"Cross",32.2,105683,13750,24.9,9.14,51.97,31.2,7.86,242,"AR",TRUE
"Dallas",36.4,90482,14782,21.3,11.05,52.12,14.2,19.05,296,"AR",TRUE
"Desha",31.5,98155,13154,30.6,9.64,53.29,21.3,10.98,523,"AR",TRUE
"Drew",31.8,84350,13477,19.6,10.36,51.7,20.8,8.02,123,"AR",TRUE
"Faulkner",29.8,60028,15191,12.3,8.51,51.62,99.3,3.34,391,"AR",TRUE
"Franklin",35.4,84306,12860,15.9,12.57,50.38,24.9,9.08,188,"AR",TRUE
"Fulton",40.6,86435,10690,25.6,14.65,52,16.2,11.4,149,"AR",TRUE
"Garland",40.8,95715,17457,17.9,13.66,52.32,112.1,8.38,554,"AR",TRUE
"Grant",34.4,40619,14534,13,11.86,50.75,22.8,7.5,208,"AR",TRUE
"Greene",35.5,87692,13029,16.4,10.61,51.59,56.8,7.47,265,"AR",TRUE
"Hempstead",34.3,116516,13034,23.3,10.93,52.43,30.2,8.82,437,"AR",TRUE
"Hot Spring",36.4,89702,12622,18.6,12.24,51.71,42.9,9.39,299,"AR",TRUE
"Howard",34.5,109796,15854,17.5,9.15,51.86,23.3,25.99,151,"AR",TRUE
"Independence",34.8,101619,14704,16.5,11.48,51.38,41.4,7.97,335,"AR",TRUE
"Izard",43.9,97572,12867,21.1,12.57,51.04,20.3,16.61,49,"AR",TRUE
"Jackson",36.7,79717,14215,23.9,11.42,52.21,29.8,12.43,280,"AR",TRUE
"Jefferson",31.9,93840,14208,27.6,11.59,51.86,96.2,8.17,594,"AR",TRUE
"Johnson",35.3,80327,12801,18,12.1,51.14,28.2,8.88,236,"AR",TRUE
"Lafayette",35.1,102237,11796,30,9.03,52.41,17.9,11.06,136,"AR",TRUE
"Lawrence",36.7,81939,12210,23.8,10.53,51.95,29.7,14.43,128,"AR",TRUE
"Lee",31.9,45369,11213,45.4,7.94,52.1,21.4,6.51,471,"AR",TRUE
"Lincoln",32.2,39478,10859,29,8.95,41.04,24.8,10.58,60,"AR",TRUE
"Little River",33.8,73347,14504,19.1,11.83,51.47,25.8,10.51,206,"AR",TRUE
"Logan",35.3,82325,13428,18.7,11.8,50.65,29.3,15.48,89,"AR",TRUE
"Lonoke",32.5,65589,15744,14.2,9.02,50.83,53.4,11.64,215,"AR",TRUE
"Madison",36,69156,13857,17.3,11.61,50.84,14.7,5.61,108,"AR",TRUE
"Marion",42.7,70869,12902,19.1,13.59,51.16,20.9,7.76,127,"AR",TRUE
"Miller",32.7,117603,13585,22.8,11.18,52.29,61.8,8.63,881,"AR",TRUE
"Mississippi",29.4,62732,13954,26.2,9.06,51.81,61.2,6.78,822,"AR",TRUE
"Monroe",34.5,106861,13899,33,11.48,53.01,18,10.55,294,"AR",TRUE
"Montgomery",40.1,54338,12035,22.5,13.63,50.68,10.2,6.88,180,"AR",TRUE
"Nevada",35.6,70636,12803,19.9,11.44,52.27,16.1,17.1,74,"AR",TRUE
"Newton",35.7,47612,10483,26.3,12.17,49.95,9.2,5.53,30,"AR",TRUE
"Ouachita",35.2,71745,14052,22.1,11.88,52.83,40.4,11.86,442,"AR",TRUE
"Perry",36.4,55942,12829,16.7,10.89,50.99,15.1,9.04,92,"AR",TRUE
"Phillips",30.8,88659,12440,42.7,9.3,54.29,40.6,9.47,464,"AR",TRUE
"Pike",36.4,130671,14460,17.4,12.27,51.18,16.6,14.1,71,"AR",TRUE
"Poinsett",34.6,89898,13199,26.6,11.03,51.9,32.2,7.21,184,"AR",TRUE
"Polk",38,87606,13423,21,14.06,51.22,20.6,9.72,169,"AR",TRUE
"Pope",31.8,83848,15627,16,9.9,50.59,59.2,8.75,309,"AR",FALSE
"Pulaski",32.4,105797,20027,17.1,12.57,52.52,458,5.73,1130,"AR",TRUE
"Randolph",36.6,60560,11488,21.4,11.69,51.61,25.9,10.47,146,"AR",TRUE
"St. Francis",31,59719,12171,35.7,8.24,53.46,44.5,11.35,771,"AR",TRUE
"Saline",33.4,35739,15059,9.3,10.63,50.47,92.6,8.78,365,"AR",TRUE
"Scott",36.2,92731,12566,21.1,10.9,50.81,11.6,10,97,"AR",TRUE
"Sebastian",33.7,110853,18033,15.4,13.35,52.14,189.2,7.7,626,"AR",FALSE
"Sevier",34.9,96997,14560,19.4,13.04,50.4,25.4,11.96,296,"AR",TRUE
"Sharp",44.8,114766,12013,20.6,13.32,52.25,24.8,13.73,145,"AR",TRUE
"Stone",39.2,62499,12046,23.9,9.64,50.93,16.8,9.02,112,"AR",TRUE
"Union",34.5,113471,17626,19.2,11.76,52.7,44.9,12.73,475,"AR",TRUE
"Van Buren",43.2,86181,12238,21.6,14.25,50.76,20,7.32,197,"AR",TRUE
"Washington",30.8,97273,16784,11.7,10.15,50.51,126.4,6.11,429,"AR",TRUE
"White",33.1,90898,13283,17.9,9.43,51.36,55,7.33,290,"AR",TRUE
"Woodruff",34.3,98385,14331,31.8,9.55,52.87,15.7,12.61,59,"AR",TRUE
"Yell",35.6,108440,14876,16.9,11.31,51.28,19.5,13.7,317,"AR",TRUE
"Alameda",32.7,76414,23707,12.3,11.3,55.39,1774.1,4.01,837,"CA",TRUE
"Amador",37.9,92568,16612,9.5,10.46,44.53,53.8,5.64,243,"CA",FALSE
"Butte",33.8,61001,16197,19,10.72,51.18,115.5,3.71,538,"CA",TRUE
"Calaveras",39.5,48330,16325,11.5,9.9,50.29,34.6,3.68,351,"CA",FALSE
"Colusa",32.1,107363,19360,17.4,9.31,48.74,14.7,3.2,389,"CA",FALSE
"Contra Costa",34.1,106163,27158,9,11.37,50.99,1166,2.88,606,"CA",TRUE
"Del Norte",32.3,36592,12792,19.9,10.38,44.54,26.4,3.05,371,"CA",TRUE
"El Dorado",35.3,40039,20424,8.5,10.21,49.92,80.3,1.95,379,"CA",FALSE
"Fresno",29.3,59965,16854,28.1,8.47,50.38,118.4,4.26,910,"CA",TRUE
"Glenn",32.6,82020,14674,19.5,10.49,49.89,19.4,2.9,380,"CA",FALSE
"Humboldt",33.1,66404,16831,17.3,12.57,50.29,34.1,4.23,534,"CA",TRUE
"Imperial",28.8,59797,13987,28.6,6.64,49.98,30.8,1.84,690,"CA",TRUE
"Inyo",39,73921,18100,12.8,15.95,51.03,1.8,4.67,322,"CA",FALSE
"Kern",29.7,44347,15963,21.8,8.55,49.4,72.2,2.43,648,"CA",FALSE
"Kings",28.1,43635,13191,22.5,6.83,45.78,76.9,2.57,437,"CA",FALSE
"Lassen",31.9,47613,14409,15.6,12.58,42.19,6.1,4.39,221,"CA",FALSE
"Los Angeles",30.7,88044,21577,23.8,9.66,50.14,2233.5,3.55,762,"CA",TRUE
"Madera",31.9,38324,15024,20.9,7.59,48.52,46.2,3.69,521,"CA",FALSE
"Marin",38.1,105449,37387,6.4,14.66,50.2,449.2,5.18,398,"CA",TRUE
"Mendocino",35.6,79473,17246,16.8,12.32,50.02,23.3,4.71,471,"CA",TRUE
"Merced",27.9,42895,14962,24.5,7.67,49.21,98.1,2.26,509,"CA",TRUE
"Modoc",37.2,74228,14472,18.2,11.78,48.96,2.5,6.12,231,"CA",FALSE
"Monterey",29.6,64775,21143,16.1,9.85,48.48,111,2.84,533,"CA",TRUE
"Napa",36.4,93299,24461,9.2,13.87,50.69,150.9,7.9,480,"CA",TRUE
"Nevada",39.3,72156,18855,9.5,10.14,50.77,87,3.17,334,"CA",FALSE
"Orange",31.4,82212,24996,12.6,10.7,52.17,3147.8,2.49,571,"CA",FALSE
"Placer",35.1,73442,22748,8.5,9.72,50.56,133.2,3.64,463,"CA",FALSE
"Plumas",39,75850,17503,11.5,14.41,50.12,8.1,3.93,559,"CA",TRUE
"Riverside",31.5,41389,17969,15,7.31,50.11,179,2.48,738,"CA",TRUE
"Sacramento",31.9,62605,20397,16.3,11.14,51.2,1130.3,3.05,763,"CA",TRUE
"San Benito",30.3,60184,17122,12.9,7.12,49.27,27.7,2.88,428,"CA",TRUE
"San Bernardino",29.3,31179,16388,17.5,8.15,50.05,76.4,2.4,691,"CA",TRUE
"San Diego",30.9,68605,20689,16.3,10.3,52.7,618.8,2.73,660,"CA",TRUE
"San Francisco",35.8,360313,31918,13.5,11.39,53.45,15621,3.9,1082,"CA",TRUE
"San Joaquin",30.9,66194,17138,18.8,8.56,49.23,360.2,4.02,815,"CA",TRUE
"San Luis Obispo",33.1,67268,18261,12.7,10.01,48.53,66.8,3.7,383,"CA",TRUE
"San Mateo",34.8,88188,30531,6.9,12.71,50.85,1476.7,3.41,447,"CA",TRUE
"Santa Barbara",31.6,90068,23680,14.5,11.01,49.36,137.5,2.79,503,"CA",TRUE
"Santa Clara",31.9,92634,26772,9.2,11.42,55.09,1183.1,2.92,489,"CA",TRUE
"Santa Cruz",33,64480,23076,13.8,10.33,50.03,519.2,4.31,608,"CA",TRUE
"Shasta",34.9,70305,17292,15.9,11.18,50.97,41.6,3.29,469,"CA",FALSE
"Siskiyou",37.3,83006,15864,16.6,14.49,50.65,7,3.24,403,"CA",TRUE
"Solano",30.8,43141,18901,9.7,10.11,50.17,435.3,2.75,628,"CA",TRUE
"Sonoma",34.8,72064,22928,10.4,10.88,50.82,255.4,3.86,490,"CA",TRUE
"Stanislaus",30.5,57185,16787,17.2,8.09,50.41,264.4,4.41,668,"CA",TRUE
"Sutter",32.4,60863,18574,15.6,9.8,50.42,115.1,2.35,539,"CA",FALSE
"Tehama",36,64007,14062,18.2,11.27,50.72,17.6,3.23,517,"CA",TRUE
"Tulare",29.2,54247,15342,28.2,7.65,49.96,68.7,2.87,632,"CA",FALSE
"Tuolumne",37.2,75885,16919,12,10.67,47.37,22.6,1.32,387,"CA",TRUE
"Ventura",31.7,57175,21837,11.1,10.52,50.39,372,1.88,439,"CA",TRUE
"Yolo",28.9,72646,19586,16.6,8.97,49.59,143.2,4.95,712,"CA",TRUE
"Yuba",29.2,37114,13956,21.1,10.26,49.96,96.3,1.37,622,"CA",FALSE
"Adams",30.7,23650,16715,12.9,12.83,50.27,235.1,3.76,692,"CO",TRUE
"Alamosa",28.1,65165,13935,24,8.3,50.76,19.2,7.84,650,"CO",TRUE
"Arapahoe",32.4,59827,24963,6.7,10.83,51.16,523.7,2.83,654,"CO",FALSE
"Bent",39.1,83252,16563,20,25.04,48.09,3.3,11.2,226,"CO",TRUE
"Boulder",31.6,66155,23661,8.3,9.77,49.97,320.5,2.62,563,"CO",TRUE
"Chaffee",37.1,34978,14582,14.1,15.47,46.14,12.7,7.98,391,"CO",FALSE
"Cheyenne",32,252148,22942,9.9,9.6,49.12,1.4,12,144,"CO",FALSE
"Crowley",34.2,33100,12074,30.9,9.75,37.53,5.1,12.5,20,"CO",FALSE
"Delta",40.7,64889,14386,17.4,12.26,50.25,19.3,14.43,270,"CO",FALSE
"Denver",33.9,159683,24184,18,14.01,51.3,3162.4,4.92,861,"CO",TRUE
"Douglas",32.3,31325,26345,2.8,5.23,49.7,87,1,233,"CO",FALSE
"Elbert",33.8,20518,19050,6.1,8.99,49.91,5.8,2.96,144,"CO",FALSE
"El Paso",30.2,46370,18342,12.1,10.97,49.74,197.8,3.19,562,"CO",FALSE
"Fremont",37.7,55091,13374,17.4,13.29,48.04,21.5,17.94,373,"CO",FALSE
"Garfield",32.8,85107,17552,10.4,9.7,49.03,10.6,7.85,403,"CO",TRUE
"Gunnison",28.2,75537,15395,12.2,10.89,46.78,3.3,3.89,866,"CO",TRUE
"Huerfano",39.6,43061,13464,24.9,12.8,51.07,3.7,6.78,332,"CO",TRUE
"Jefferson",33.3,49028,22563,6.2,12.05,50.53,589.1,5.37,494,"CO",FALSE
"Kiowa",37,81638,25714,11.5,16.19,50.7,0.9,15.63,69,"CO",FALSE
"Kit Carson",34.9,157813,20128,12.8,11.43,50.51,3.3,5.28,300,"CO",FALSE
"La Plata",31.9,71699,17714,12.4,10.1,49.64,20.4,3.29,502,"CO",TRUE
"Larimer",31.1,51416,18404,10.8,9.15,50.57,76.2,4.78,180,"CO",TRUE
"Las Animas",37.7,79200,13208,24.8,13.34,51.16,2.9,12.55,393,"CO",TRUE
"Lincoln",36.9,141193,21016,16.2,11.91,42.7,1.8,17.39,187,"CO",FALSE
"Logan",34.7,90658,17526,14.8,12.93,51.14,9.4,9.83,444,"CO",FALSE
"Mesa",34.7,63968,16917,14.2,11.73,51.38,29.5,6.57,547,"CO",FALSE
"Moffat",31.8,50988,17826,11.7,15.6,49.28,2.4,4.31,389,"CO",FALSE
"Montezuma",33.3,89807,15127,17.1,10.67,51.21,9.6,3.74,488,"CO",FALSE
"Montrose",37.1,89816,15909,12.7,12.18,51.09,11.4,10.16,404,"CO",FALSE
"Morgan",33.1,85987,18110,15.5,11.82,50.93,17.7,9.78,436,"CO",FALSE
"Otero",34.9,73156,15185,24.4,12.66,51.6,15.9,19.3,416,"CO",TRUE
"Phillips",38.5,116671,18999,11,12.22,52.54,6,9.51,66,"CO",FALSE
"Prowers",32,132074,15730,21.3,9.42,51.24,8,7.27,577,"CO",FALSE
"Pueblo",34.7,52264,15582,20.7,14.48,51.46,51.8,6.2,651,"CO",TRUE
"Rio Blanco",32.3,110260,17470,9.4,13.95,49.19,1.9,4.03,334,"CO",FALSE
"Rio Grande",33.7,52253,15286,23,11.85,50.54,11.7,10.93,328,"CO",FALSE
"Routt",32.4,119068,22654,6.5,10.97,46.62,6.4,3.05,374,"CO",TRUE
"Sedgwick",40.8,83346,18661,12,15.92,51.21,4.7,11.54,104,"CO",FALSE
"Teller",34.6,54644,19068,9.3,9.77,48.95,24.8,2.54,374,"CO",FALSE
"Washington",37.3,128854,19003,13,13.07,50.15,1.8,6.09,87,"CO",FALSE
"Weld",30.5,55994,16466,15.3,10.26,50.44,34.1,4.88,565,"CO",FALSE
"Yuma",35.8,133721,19370,12,11.92,51.01,3.8,12,224,"CO",FALSE
"Fairfield",35.5,191020,36257,7.7,13.34,52.01,1322.7,6.75,512,"CT",FALSE
"Hartford",34.5,199847,26063,11.2,12.8,51.72,1151.5,10.82,595,"CT",TRUE
"Litchfield",35.7,140960,24501,5.5,12.83,51.13,192.1,6.71,175,"CT",FALSE
"Middlesex",34.8,139647,25217,5.2,12.97,51.1,392.1,9.12,232,"CT",TRUE
"New Haven",34.2,159677,23651,11,12.59,51.86,1323.9,9.34,618,"CT",TRUE
"New London",32.5,106965,22301,8.3,13.79,50.15,372.2,7.7,263,"CT",TRUE
"Tolland",31.5,94933,20956,5.1,11.75,49.86,316.5,2.55,114,"CT",TRUE
"Windham",32.7,84472,19510,9.6,11.76,51.14,201.2,9.09,133,"CT",TRUE
"Kent",31.1,120322,16094,13,10.47,50.97,196.4,7.72,390,"DE",FALSE
"New Castle",32.5,631534,23628,9.9,11.99,51.34,1065.9,4.84,425,"DE",TRUE
"Sussex",36.4,130718,17484,13.9,9.98,51.4,127.3,10.17,233,"DE",FALSE
"Alachua",28.3,67103,17520,20.2,9.09,51.01,216.1,4.02,1082,"FL",TRUE
"Baker",30.2,40609,13593,19.4,9.05,47.21,33,3.47,372,"FL",FALSE
"Bay",33.2,41969,16424,16.3,10.35,51.04,174.7,3.42,740,"FL",FALSE
"Bradford",33.6,55896,12438,21.6,13.76,44.38,78.4,4.3,759,"FL",FALSE
"Brevard",36.2,67498,18715,11.6,11.42,50.49,417.5,2.66,668,"FL",FALSE
"Broward",37.7,73135,22929,12.3,11.15,52.33,1084.5,2.64,853,"FL",TRUE
"Calhoun",33.5,45242,11330,22.3,7.69,48.65,20.1,12.19,77,"FL",FALSE
"Charlotte",53.6,88873,17584,10,8.81,51.8,173.6,5.55,366,"FL",FALSE
"Citrus",50.8,89403,14941,15.5,9.75,52.08,171.5,5.15,276,"FL",FALSE
"Clay",32,42602,17407,8.8,8.88,50.81,189.5,4.35,487,"FL",FALSE
"Collier",40.7,126370,28557,13.1,7.56,50.29,81.6,3.67,571,"FL",FALSE
"Columbia",33.6,56503,14089,20.4,10.73,50.99,55.7,2.07,728,"FL",FALSE
"Duval",31.5,82961,18857,15.4,11.57,50.8,903,3.68,1033,"FL",FALSE
"Escambia",32.4,70654,16345,20.3,12.48,51.36,407.2,4.24,741,"FL",FALSE
"Flagler",46.4,104754,14689,10.9,5.84,51.97,69.3,2.83,372,"FL",TRUE
"Franklin",38.9,51274,13963,21.1,10.57,50.57,17.2,14.13,242,"FL",FALSE
"Gadsden",31.8,45618,13185,29.2,8.77,52.39,81.8,4.27,511,"FL",TRUE
"Gilchrist",33.5,46294,12536,17.8,7.89,47.07,29.8,11.15,139,"FL",TRUE
"Gulf",35.7,36246,13797,19.3,10.08,50.13,20.7,9.91,214,"FL",FALSE
"Hamilton",30.9,14973,12066,24.3,7.3,47.1,21.8,5.36,19,"FL",TRUE
"Hardee",32.8,96343,15621,27,10.27,49.21,31.5,3.73,556,"FL",FALSE
"Hendry",30.3,59821,17157,22.9,7.19,49.32,24,4.08,465,"FL",FALSE
"Hernando",49.5,89897,14930,13.9,6.84,51.91,229.6,4.53,476,"FL",TRUE
"Highlands",51.5,93767,16275,16.9,9.71,52.41,69.2,7.4,639,"FL",FALSE
"Hillsborough",33,86182,18401,17,10.43,51.13,814.9,3.58,1043,"FL",FALSE
"Holmes",35.6,46441,11892,24.6,10.56,49.23,33.8,7.24,120,"FL",FALSE
"Indian River",44,138696,26637,11.5,9.58,51.62,186.2,4.48,585,"FL",FALSE
"Jackson",34.3,62200,14271,20.9,10.58,48.92,46.4,6.94,217,"FL",FALSE
"Jefferson",33.8,56216,14175,22.9,8.81,49.53,19.6,4.7,492,"FL",TRUE
"Lake",44.7,101453,17326,14.1,9.62,51.96,170.3,6.2,452,"FL",FALSE
"Lee",42,102447,20349,12.3,9.07,51.76,439.4,3.71,626,"FL",FALSE
"Leon",28.8,75763,17976,14.9,8.78,51.75,303.8,3.36,1206,"FL",TRUE
"Levy",38.5,66825,12847,19.2,10.24,52.15,24.2,6.42,445,"FL",TRUE
"Madison",32.3,47323,12325,23.8,8.56,48.53,24.1,6.41,311,"FL",TRUE
"Manatee",43.1,89672,20904,12.9,10.08,52.55,295.3,6.26,848,"FL",FALSE
"Marion",40,68657,15633,18.4,8.8,51.76,131.5,3.02,663,"FL",FALSE
"Martin",44.5,120549,29881,10.8,9.85,50.77,188.8,3.84,556,"FL",FALSE
"Monroe",38.8,111797,22453,11.5,14.45,47.35,80.1,3.6,957,"FL",TRUE
"Nassau",33.4,42532,19059,11.9,9.98,50.49,72,2.52,425,"FL",FALSE
"Okaloosa",31.5,71158,17767,11.2,10.71,49.8,163.4,2.84,371,"FL",FALSE
"Okeechobee",34.3,68035,13683,21.8,8.59,48.75,39.3,5.1,482,"FL",TRUE
"Orange",31.5,79270,18920,14.7,9.56,50.3,785,4.55,887,"FL",FALSE
"Osceola",33.7,56749,15266,14,6.01,50.97,90.1,5.08,801,"FL",FALSE
"Palm Beach",39.9,89950,31407,12.3,9.19,51.78,460.4,5.38,901,"FL",TRUE
"Pasco",48,90991,15427,14.6,11.1,52.49,385.5,4.97,447,"FL",TRUE
"Pinellas",42.1,109640,21721,12.8,13.79,53.24,3081.4,8.92,734,"FL",TRUE
"Polk",36.5,76139,16280,17.9,10.13,51.5,223.5,4.28,892,"FL",FALSE
